Brand;Endoscope Model;AquaTYPHOON;;;
;;"AquaTYPHOON Connection set
Ref. PlasmaBiotics";"AquaTYPHOON Connection set
PENTAX Item N°";AquaTYPHOON Cycle code;AquaTYPHOON Connection card
Fujifilm;EB-270P;AF BR70/A;301218-1;BCU-BCU;B05-032_3_302
Fujifilm;EB-270S;AF BR70/A;301218-1;BCU-BCU;B05-032_3_302
Fujifilm;EB-270T;AF BR70/A;301218-1;BCU-BCU;B05-032_3_302
Fujifilm;EB-470P;AF BR70/A;301218-1;BCU-BCU;B05-032_3_302
Fujifilm;EB-470S;AF BR70/A;301218-1;BCU-BCU;B05-032_3_302
Fujifilm;EB-470T;AF BR70/A;301218-1;BCU-BCU;B05-032_3_302
Fujifilm;EB-530H;AF BRG5/A;301217-1;BCU-BCU;B05-036_3_302
Fujifilm;EB-530P;AF BRG5/A;301217-1;BCU-TC;B05-036_3_302
Fujifilm;EB-530S;AF BRG5/A;301217-1;BCU-BCU;B05-036_3_302
Fujifilm;EB-530T;AF BRG5/A;301217-1;BCU-BCU;B05-036_3_302
Fujifilm;EB-530US;AF EBUS/A;301220-1;BCU-EBUS;B05-037_3_302
Fujifilm;EB-530XT;AF BRG5/A;301217-1;BCU-BCU;B05-036_3_302
Fujifilm;EB-580S;AF BRG5/A;301217-1;BCU-BCU;B05-036_3_302
Fujifilm;EB-580T;AF BRG5/A;301217-1;BCU-BCU;B05-036_3_302
Fujifilm;EB-710P;AO BR/A;301225-1;BCU-BCU;B05-011_3_302
Fujifilm;EB-710P;AO BR/A;301225-1;BCU-BCU;B05-011_3_302
Fujifilm;EB-710XT;AO BR/A;301225-1;BCU-BCU;B05-011_3_302
Fujifilm;EC-530DL;AF GIG5-2B/A;301212-1;DOC;B05-028_3_302
Fujifilm;EC-530DM;AF GIG5-2B/A;301212-1;DOC;B05-028_3_302
Fujifilm;EC-530FI;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-530FL;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-530LP;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-530MP;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-530WI3;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-530WL3;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-530WM;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-530WM3;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-580RD L;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-580RD M;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-580RDL;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-590MP;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-590WI4;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-590WL4;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-590WM4;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-590ZW/M;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-590ZW3 L;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-590ZW3 M;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-600W-I;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-600WL;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-600WM;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-600ZWL;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-600ZW-M;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EC-720RI;AF GI700/A;301213-1;GI;B05-002_3_302
Fujifilm;EC-720RL;AF GI700/A;301213-1;GI;B05-002_3_302
Fujifilm;EC-720RM;AF GI700/A;301213-1;GI;B05-002_3_302
Fujifilm;EC-740TL;AF GI700/A;301213-1;GI;B05-002_3_302
Fujifilm;EC-740TM;AF GI700/A;301213-1;GI;B05-002_3_302
Fujifilm;EC-760P-VL;AF GI700/A;301213-1;GI;B05-002_3_302
Fujifilm;EC-760P-VM;AF GI700/A;301213-1;GI;B05-002_3_302
Fujifilm;EC-760R-VI ;AF GI700/A;301213-1;GI;B05-002_3_302
Fujifilm;EC-760R-VL;AF GI700/A;301213-1;GI;B05-002_3_302
Fujifilm;EC-760R-VM;AF GI700/A;301213-1;GI;B05-002_3_302
Fujifilm;EC-760S-G/L;AF GI700/A;301213-1;GI;B05-002_3_302
Fujifilm;EC-760ZP-VL;AF GI700/A;301213-1;GI;B05-002_3_302
Fujifilm;EC-760ZP-VM;AF GI700/A;301213-1;GI;B05-002_3_302
Fujifilm;EC-760ZV;AF GI700/A;301213-1;GI;B05-002_3_302
Fujifilm;EC-L600ZP7;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;ED-530XT8;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;ED-580T;AF GI700/A;301213-1;GI;B05-002_3_304
Fujifilm;ED-580XT ;AF GI700/A;301213-1;GI;B05-002_3_304
Fujifilm;EG-250WM;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EG-530CT;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EG-530D;AF GIG5-2B/A;301212-1;DOC;B05-028_3_302
Fujifilm;EG-530FP;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EG-530NP;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EG-530NW;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EG-530UR;AF EUS530/A;301215-1;EUS;B05-005_3_302
Fujifilm;EG-530UR2;AF EUS530/A;301215-1;EUS;B05-005_3_302
Fujifilm;EG-530UT;AF EUS530/A;301215-1;EUS;B05-005_3_302
Fujifilm;EG-530UT2;AF EUS530/A;301215-1;EUS;B05-005_3_302
Fujifilm;EG-530WR;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EG-580NWZ;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EG-580RD;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EG-580UR;AF EUS580/A;301216-1;EUS;B05-006_3_302
Fujifilm;EG-580UT;AF EUS580/A;301216-1;EUS;B05-006_3_302
Fujifilm;EG-590WR;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EG-590ZW;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EG-600WR;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EG-600ZW;AF GIG5/A;301211-1;GI;B05-001_3_302
Fujifilm;EG-720R;AF GI700/A;301213-1;GI;B05-002_3_302
Fujifilm;EG-740N;AF GI700/A;301213-1;GI;B05-002_3_302
Fujifilm;EG-740UT;AF EUS580/A;301216-1;EUS;B05-006_3_302
