Brand;Endoscope Model;PlasmaTYPHOON;;;;PlasmaTYPHOON+;;;
;;"PlasmaTYPHOON Connection set
Ref. PlasmaBiotics";"PlasmaTYPHOON Connection Set 
PENTAX Item N°";PlasmaTYPHOON Cycle code;PlasmaTYPHOON Connection card;"PlasmaTYPHOON+ Connection set
Ref. PlasmaBiotics";"PlasmaTYPHOON+ Connection set
PENTAX Item N°";PlasmaTYPHOON+ Cycle code;PlasmaTYPHOON+ Connection card
Fujifilm;EB-270P;Fg5 B70;301086;PED;B01-032_3_302;Fg5 B70;301086;BR-SC;B01-032_3_302
Fujifilm;EB-270S;Fg5 B70;301086;BRO;B01-032_3_302;Fg5 B70;301086;BR-SC;B01-032_3_302
Fujifilm;EB-270T;Fg5 B70;301086;BRO;B01-032_3_302;Fg5 B70;301086;BR-SC;B01-032_3_302
Fujifilm;EB-470P;Fg5 B70;301086;PED;B01-032_3_302;Fg5 B70;301086;BR-SC;B01-032_3_302
Fujifilm;EB-470S;Fg5 B70;301086;BRO;B01-032_3_302;Fg5 B70;301086;BR-SC;B01-032_3_302
Fujifilm;EB-470T;Fg5 B70;301086;BRO;B01-032_3_302;Fg5 B70;301086;BR-SC;B01-032_3_302
Fujifilm;EB-530H;Fg5W B-Bp;301098;BRO;B01-034_3_302;Fg5W B-Bp;301098;BR-LC;B01-034_3_302
Fujifilm;EB-530P;Fg5W B-Bp;301098;PED;B01-034_3_302;Fg5W B-Bp;301098;BR-TC;B01-034_3_302
Fujifilm;EB-530S;Fg5W B-Bp;301098;BRO;B01-034_3_302;Fg5W B-Bp;301098;BR-LC;B01-034_3_302
Fujifilm;EB-530T;Fg5W B-Bp;301098;BRO;B01-034_3_302;Fg5W B-Bp;301098;BR-LC;B01-034_3_302
Fujifilm;EB-530US;Fg5W EB;301099;BRO;B01-035_3_302;Fg5W EB;301099;BR-EBUS;B01-035_3_302
Fujifilm;EB-530XT;Fg5W B-Bp;301098;BRO;B01-034_3_302;Fg5W B-Bp;301098;BR-LC;B01-034_3_302
Fujifilm;EB-580S;Fg5W B-Bp;301098;BRO;B01-034_3_302;Fg5W B-Bp;301098;BR-LC;B01-034_3_302
Fujifilm;EB-580T;Fg5W B-Bp;301098;BRO;B01-034_3_302;Fg5W B-Bp;301098;BR-LC;B01-034_3_302
Fujifilm;EB-710P;F700 B-Bp;301100;BRO;B01-040_3_302;F700 B-Bp;301100;BR-SC;B01-040_3_302
Fujifilm;EB-710P;F700 B-Bp;301100;BRO;B01-040_3_302;F700 B-Bp;301100;BR-SC;B01-040_3_302
Fujifilm;EB-710XT;F700 B-Bp;301100;BRO;B01-040_3_302;F700 B-Bp;301100;BR-SC;B01-040_3_302
Fujifilm;EC-530DL;Fg5W 2C-G-D;301052;ECH;B01-028_3_302;Fg5W 2C-G-D;301052;GI-DOCWJ;B01-028_3_302
Fujifilm;EC-530DM;Fg5W 2C-G-D;301052;ECH;B01-028_3_302;Fg5W 2C-G-D;301052;GI-DOCWJ;B01-028_3_302
